AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
JAR,Jahrom Airport,JAR,Arcadia,United States,USD
JAT,Jabot,JAT,Jabot,Marshall Islands,USD
JAV,Ilulisaat,JAV,Ilulisaat,Greenland,DKK
JAX,Jacksonville Int'l,JAX,Jacksonville,United States,USD
JBR,Jonesboro,JBR,Jonesboro,United States,USD
JCB,Joacaba Airport,JCB,Joacaba,Brazil,BRL
JCH,Christianshaab,JCH,Christianshaab,Greenland,DKK
JCK,Julia Creek,JCK,Julia Creek,Australia,AUD
JCR,Jacareacanga Airport,JCR,Jacareacanga,Brazil,BRL
JDF,Francisco De Assis,JDF,Juiz De Fora,Brazil,BRL
JDH,Jodhpur,JDH,Jodhpur,India,INR
JDO,Juazeiro Do Norte,JDO,Juazeiro Do Norte,Brazil,BRL
JDR,Sao Joao del-Rei Airport,JDR,Sao Joao del-Rei,Brazil,BRL
JED,King Abdulaziz Int'l,JED,Jeddah,Saudi Arabia,SAR
JEG,Aasiaat,JEG,Aasiaat,Greenland,DKK
JEJ,Jeh,JEJ,Jeh,Marshall Islands,USD
JER,Jersey States,JER,Jersey,United Kingdom,GBP
JFR,Frederikshaab,JFR,Frederikshaab,Greenland,DKK
JGA,Govardhanpur,JGA,Jamnagar,India,INR
JGB,Jagdalpur,JGB,Jagdalpur,India,INR
JGN,Jiayuguan,JGN,Jiayuguan,China,CNY
JGO,Godhavn,JGO,Godhavn,Greenland,DKK
JHB,Sultan Ismail Int'l,JHB,Johor Bahru,Malaysia,MYR
JHG,Gasa,JHG,Jinghong,China,CNY
JHM,Kapalua,JHM,Kapalua,United States,USD
JHS,Sisimiut,JHS,Sisimiut,Greenland,DKK
JHW,Jamestown,JHW,Jamestown,United States,USD
JIB,Ambouli,JIB,Djibouti,Djibouti,DJF
JIK,Ikaria Island National Airport,JIK,Ikaria Island,Greece,EUR
JIM,Jimma,JIM,Jimma,Ethiopia,ETB
JJD,Jericoacoara airport,JJD,Jijoca de Jericoacoara,Brazil,BRL
JJG,Jaguaruna Regional Airport,JJG,Jaguaruna,Brazil,BRL
JJI,Juanjui,JJI,Juanjui,Peru,PEN
JJN,Jinjiang,JJN,Jinjiang,China,CNY
JKG,Axamo,JKG,Jonkoping,Sweden,SEK
JKH,Chios,JKH,Chios,Greece,EUR
JKL,Kalymnos Island National Airport,JKL,Kalymnos,Greece,EUR
CGK,Soekarno-Hatta Int'l,JKT,Jakarta,Indonesia,IDR
HLP,Halim Perdana Kusuma,JKT,Jakarta,Indonesia,IDR
JLN,Joplin,JLN,Joplin,United States,USD
JLR,Jabalpur,JLR,Jabalpur,India,INR
JMK,Mikonos,JMK,Mikonos,Greece,EUR
JMU,Jiamusi Airport,JMU,Jiamusi,China,CNY
GCJ,Crand Central,JNB,Johannesburg,South Africa,ZAR
JNB,Johannesburg Int'l,JNB,Johannesburg,South Africa,ZAR
JNN,Nanortalik,JNN,Nanortalik,Greenland,DKK
JNU,Juneau Int'l,JNU,Juneau,United States,USD
JNX,Naxos Island National,JNX,Naxos,Greece,EUR
JOE,Joensuu,JOE,Joensuu,Finland,EUR
JOG,Adisutjipto,JOG,Yogyakarta,Indonesia,IDR
JOI,Cubatao,JOI,Joinville,Brazil,BRL
JOL,Jolo Airport,JOL,Jolo,Philippines,PHP
JON,Johnston Island,JON,Johnston Island,U.S. Minor Outlaying Islands,USD
JOS,Jos,JOS,Jos,Nigeria,NGN
JPA,Castro Pinto,JPA,Joao Pessoa,Brazil,BRL
JPR,Ji-Parana - RondÃ´nia,JPR,Ji Parana,Brazil,BRL
JQF,Concord Regional Airport,JQF,Concord,United States,USD
JRH,Rowriah,JRH,Jorhat,India,INR
JRO,Kilimanjaro,JRO,Kilimanjaro,Tanzania,TZS
JRS,Jerusalem,JRS,Jerusalem,Israel,ILS
JSA,Jaisalmer,JSA,Jaisalmer,India,INR
JSH,Sitia,JSH,Sitia,Greece,EUR
JSI,Skiathos,JSI,Skiathos,Greece,EUR
JSM,Jose D San Martin,JSM,Jose D San Martin,Argentina,ARS
JSR,Jessore,JSR,Jessore,Bangladesh,BDT
JST,Cambria County,JST,Johnstown,United States,USD
JSY,Syros Island National Airport,JSY,Syros Island,Greece,EUR
JTC,Bauru - Arealva,JTC,Bauru - Sao Paulo,Brazil,BRL
JTR,Santorini,JTR,Thira,Greece,EUR
JTY,Astypalaia Island National Airport,JTY,Astypalea Island,Greece,EUR
JUB,Juba,JUB,Juba,Sudan,SDG
JUI,Juist,JUI,Juist,Germany,EUR
JUJ,El Cadillal,JUJ,Jujuy,Argentina,ARS
JUL,Juliaca,JUL,Juliaca,Peru,PEN
JVA,Ankavandra,JVA,Ankavandra,Madagascar,MGA
JWA,Jwaneng,JWA,Jwaneng,Botswana,BWP
JWN,Zanjan Airport,JWN,Zanjan,Iran,IRR
JYV,Jyvaskyla,JYV,Jyvaskyla,Finland,EUR
KAA,Kasama,KAA,Kasama,Zambia,ZMW 
KAB,Kariba,KAB,Kariba,Zimbabwe,ZWD
KAC,Kameshli,KAC,Kameshli,Syrian Arab Republic,SYP
KAD,Kaduna,KAD,Kaduna,Nigeria,NGN
KAG,Kangnung,KAG,Kangnung,South Korea,KRW
KAJ,Kajaani,KAJ,Kajaani,Finland,EUR
KAL,Kaltag,KAL,Kaltag,United States,USD
KAN,Aminu Kano Int'l,KAN,Kano,Nigeria,NGN
KAO,Kuusamo,KAO,Kuusamo,Finland,EUR
KAT,Kaitaia,KAT,Kaitaia,New Zealand,NZD
KAX,Kalbarri,KAX,Kalbarri,Australia,AUD
KAZ,Kau,KAZ,Kau,Indonesia,IDR
KBA,Kabala,KBA,Kabala,Sierra Leone,SLL
KBC,Birch Creek,KBC,Birch Creek,United States,USD
KBI,Kribi,KBI,Kribi,Cameroon,XAF
KBL,Khwaja Rawash,KBL,Kabul,Afghanistan,AFN
KBM,Kabwum,KBM,Kabwum,Papua New Guinea,PGK
KBR,Pengkalan Chepa,KBR,Kota Bharu,Malaysia,MYR
KBT,Kaben,KBT,Kaben,Marshall Islands,USD
KBV,KRABI,KBV,Krabi,Thailand,THB
KBX,Kambuaya,KBX,Kambuaya,Indonesia,IDR
KBY,Streaky Bay,KBY,Streaky Bay,Australia,AUD
KCH,Kuching,KCH,Kuching,Malaysia,MYR
KCK,Fairfax Municipal,KCK,Kansas City,United States,USD
KCG,Fisheries,KCL,Chignik,United States,USD
KCL,Chignik,KCL,Chignik,United States,USD
KCQ,Chignik Lake,KCL,Chignik,United States,USD
KCM,Kahramanmaras,KCM,Kahramanmaras,Turkey,TRY
KCZ,Kochi,KCZ,Kochi,Japan,JPY
KDA,Kolda,KDA,Kolda,Senegal,XOF
KDC,Kandi,KDC,Kandi,Benin,XOF
KDH,Kandahar,KDH,Kandahar,Afghanistan,AFN
